dataset,subject,epoch,vertex_channel,sfreq,n2_amp,n2_lat,p2_amp,p2_lat,n2p2_amp,gamma_power,gamma_band_hz,alpha_erd_pct,beta_erd_pct,psd_delta,psd_theta,psd_alpha,psd_beta,psd_gamma,plv_Fz-Cz,plv_Cz-Pz,plv_C3-C4,plv_FCz-CPz,perm_entropy,spectral_entropy,sample_entropy,higuchi_fd,dfa,hjorth_mobility,hjorth_complexity,rating,laser_power
ds005284,sub-001,0,CZ,1000.0,-22.231401443481445,0.221,10.99229621887207,0.427,33.223697662353516,0.14400496982488326,30.0-100.0,,-166.78940998498842,0.0,0.0,0.0,1.9721562275663018,0.26502060719835185,0.39862972081919523,0.3169024625652486,0.25958049416979684,0.24635001480326948,0.5121434954044974,0.27569433634447027,0.12109534411024639,1.035878757377749,1.7831941748808693,0.03867463,3.6232595,,
ds005284,sub-001,1,CZ,1000.0,-3.065441131591797,0.194,25.04020881652832,0.388,28.105649948120117,0.09337688202410224,30.0-100.0,,-964.430399993438,0.0,0.0,0.0,1.3720908609684557,0.1414522774835468,0.8075119478836525,0.5902238884239511,0.5737525089566908,0.7030460934086128,0.49550397274646085,0.32371288755774835,0.1180689555227911,1.0226930203883111,1.82626730250342,0.04392365,2.4481134,,
ds005284,sub-001,2,CZ,1000.0,-8.20946979522705,0.231,18.109031677246094,0.461,26.318501472473145,0.006866950464514939,30.0-100.0,,-3383.2928398641416,0.0,0.0,0.0,1.8840916600311175,0.027749840991618882,0.9111601831290749,0.5950701767581564,0.17835859696528966,0.5931381171592206,0.4764542703975597,0.334523043060083,0.1872302460879973,1.0111169245792584,1.8424544373067617,0.05761435,1.6239028,,
ds005284,sub-001,3,CZ,1000.0,-16.382238388061523,0.185,13.250682830810547,0.371,29.63292121887207,0.17864659248471143,30.0-100.0,,-1359.2258275268352,0.0,0.0,0.0,1.3613346382044256,0.08561298946744775,0.5903649339107871,0.1050363034498774,0.2937831288883085,0.7076173042744763,0.4898128120643019,0.25927461473304486,0.0997567526827054,1.0247782161518975,1.8800708745070116,0.037086792,3.0778568,,
ds005284,sub-001,4,CZ,1000.0,-26.62097930908203,0.252,7.102807998657227,0.389,33.72378730773926,0.014944916289460347,30.0-100.0,,-78.25694273072133,0.0,0.0,0.0,2.224807452876121,0.05138098623915259,0.47391514066267054,0.37011797140532504,0.3066742249282571,0.48040569419723933,0.4839394465544655,0.29785579100174847,0.140260338828338,1.0126557054490157,1.9004341264975124,0.04974021,1.864374,,
ds005284,sub-001,5,CZ,1000.0,-19.35261344909668,0.309,9.740469932556152,0.366,29.093083381652832,0.05036224367446426,30.0-100.0,,-465.72250561322636,0.0,0.0,0.0,2.030571340583265,0.11891645360624127,0.7193955666419598,0.3638581536011991,0.45998394224425004,0.5071213021839885,0.4681984487680705,0.31958323506030156,0.16790850999323806,1.0131288815502966,1.916118692412146,0.060431186,1.5352545,,
ds005284,sub-001,6,CZ,1000.0,-19.289352416992188,0.209,18.781959533691406,0.366,38.071311950683594,0.2355785815645918,30.0-100.0,,-270.30237625928913,0.0,0.0,0.0,2.0969033357687294,0.16170529379603074,0.8282746049904036,0.5020619978277899,0.3238603363338207,0.4958965625260517,0.48718062759749786,0.32923517129884095,0.1289811576910752,1.0165653078478618,1.8997261282278968,0.05272715,2.0976946,,
ds005284,sub-001,7,CZ,1000.0,-18.122840881347656,0.221,9.491765022277832,0.346,27.61460590362549,0.22112670451266422,30.0-100.0,,19.32986582533563,0.0,0.0,0.0,1.424078393029049,0.08485202172084198,0.454662813978188,0.28803438179544355,0.022091967762567496,0.6494641978250081,0.47595221616161004,0.2991277418473258,0.1376625483155336,1.0145390123460447,1.9004657391693593,0.045573294,2.3139465,,
ds005284,sub-001,8,CZ,1000.0,-14.221817016601562,0.188,15.345293998718262,0.308,29.567111015319824,0.1455454768688226,30.0-100.0,,56.079226774888404,0.0,0.0,0.0,2.229757490567863,0.13622150725273,0.6958826348231567,0.5349550127510649,0.28233762306311255,0.6994617913781505,0.4954940276814092,0.34333983497003423,0.18395519285650969,1.0194741635545796,1.8489865067281495,0.055695992,1.9969225,,
ds005284,sub-001,9,CZ,1000.0,-18.48064613342285,0.204,17.822647094726562,0.424,36.303293228149414,0.05099754080654939,30.0-100.0,,-90.16604919512571,0.0,0.0,0.0,1.319002520176582,0.07110949973177308,0.6325628153837928,0.4490929268791477,0.1798721355963908,0.3118923817554002,0.48275432369237775,0.284871660119424,0.09518628181080604,1.0141414292407687,1.9284426631675158,0.034256753,2.8390844,,
